Date,SalesAmount,Promotion,HolidayMonth
1/1/2020,12248,0,0
2/1/2020,13011,0,0
3/1/2020,12722,0,0
4/1/2020,14030,1,0
5/1/2020,7783,0,0
6/1/2020,8958,1,0
7/1/2020,9089,0,0
8/1/2020,10300,0,0
9/1/2020,10464,0,0
10/1/2020,13151,1,0
11/1/2020,9969,0,0
12/1/2020,14761,0,1
1/1/2021,12720,0,0
2/1/2021,12724,0,0
3/1/2021,12136,0,0
4/1/2021,10468,0,0
5/1/2021,10186,1,0
6/1/2021,7976,0,0
7/1/2021,8445,0,0
8/1/2021,9810,0,0
9/1/2021,12031,0,0
10/1/2021,10937,0,0
11/1/2021,10834,0,0
12/1/2021,13966,0,1
1/1/2022,16297,1,0
2/1/2022,14336,0,0
3/1/2022,13023,0,0
4/1/2022,11537,0,0
5/1/2022,8800,0,0
6/1/2022,8273,0,0
7/1/2022,9199,0,0
8/1/2022,12043,0,0
9/1/2022,11892,0,0
10/1/2022,11121,0,0
11/1/2022,11812,0,0
12/1/2022,15643,0,1
1/1/2023,13904,0,0
2/1/2023,13901,0,0
3/1/2023,13534,0,0
4/1/2023,12048,0,0
5/1/2023,11452,1,0
6/1/2023,9104,0,0
7/1/2023,10042,0,0
8/1/2023,11566,0,0
9/1/2023,11759,0,0
10/1/2023,11890,0,0
11/1/2023,11770,0,0
12/1/2023,18289,0,1
